DateKey,Date,Year,Quarter,Month,MonthName,YearMonth
202201,2022-01-01,2022,Q1,1,January,2022-01
202202,2022-02-01,2022,Q1,2,February,2022-02
202203,2022-03-01,2022,Q1,3,March,2022-03
202204,2022-04-01,2022,Q2,4,April,2022-04
202205,2022-05-01,2022,Q2,5,May,2022-05
202206,2022-06-01,2022,Q2,6,June,2022-06
202207,2022-07-01,2022,Q3,7,July,2022-07
202208,2022-08-01,2022,Q3,8,August,2022-08
202209,2022-09-01,2022,Q3,9,September,2022-09
202210,2022-10-01,2022,Q4,10,October,2022-10
202211,2022-11-01,2022,Q4,11,November,2022-11
202212,2022-12-01,2022,Q4,12,December,2022-12
202301,2023-01-01,2023,Q1,1,January,2023-01
202302,2023-02-01,2023,Q1,2,February,2023-02
202303,2023-03-01,2023,Q1,3,March,2023-03
202304,2023-04-01,2023,Q2,4,April,2023-04
202305,2023-05-01,2023,Q2,5,May,2023-05
202306,2023-06-01,2023,Q2,6,June,2023-06
202307,2023-07-01,2023,Q3,7,July,2023-07
202308,2023-08-01,2023,Q3,8,August,2023-08
202309,2023-09-01,2023,Q3,9,September,2023-09
202310,2023-10-01,2023,Q4,10,October,2023-10
202311,2023-11-01,2023,Q4,11,November,2023-11
202312,2023-12-01,2023,Q4,12,December,2023-12
202401,2024-01-01,2024,Q1,1,January,2024-01
202402,2024-02-01,2024,Q1,2,February,2024-02
202403,2024-03-01,2024,Q1,3,March,2024-03
202404,2024-04-01,2024,Q2,4,April,2024-04
202405,2024-05-01,2024,Q2,5,May,2024-05
202406,2024-06-01,2024,Q2,6,June,2024-06
202407,2024-07-01,2024,Q3,7,July,2024-07
202408,2024-08-01,2024,Q3,8,August,2024-08
202409,2024-09-01,2024,Q3,9,September,2024-09
202410,2024-10-01,2024,Q4,10,October,2024-10
202411,2024-11-01,2024,Q4,11,November,2024-11
202412,2024-12-01,2024,Q4,12,December,2024-12
